
Name                         Path                                             RefCount Sample
CodeControl                  Controls\CodeControl.xaml                               2 Controls\CodeBuilderViewModel.cs:1252 | UI\Pages\CodePage.xaml:66
LeftSidebarControl           Controls\LeftSidebarControl.xaml                        2 ChatWindow.xaml:531 | CommandCenterWindow.xaml:106
SecurityControl              Controls\SecurityControl.xaml                           2 Security\SecurityTelemetryService.cs:18 | CommandCenterWindow.xaml.cs:2342
TopNavBarControl             Controls\TopNavBarControl.xaml                          2 ChatWindow.xaml:332 | CommandCenterWindow.xaml:60
VoiceOrbCompositeControl     Controls\VoiceOrbCompositeControl.xaml                  2 ChatWindow.xaml:1486 | ChatWindow.xaml.cs:389
DeckControl                  DJ\DeckControl.xaml                                     2 DJ\DjConsoleView.xaml:82 | DJ\DjConsoleView.xaml:84
DownloaderWindow             DownloaderWindow.xaml                                   2 App.xaml.cs:421 | App.xaml.cs:501
FloatingHudWindow            FloatingHud\FloatingHudWindow.xaml                      2 FloatingHud\FloatingHudManager.cs:34 | FloatingHud\FloatingHudManager.cs:95
AtlasOverlayWindow           InAppAssistant\AtlasOverlayWindow.xaml                  2 InAppAssistant\InAppAssistantManager.cs:31 | InAppAssistant\InAppAssistantManager.cs:83
SocialMediaConsoleWindow     SocialMedia\SocialMediaConsoleWindow.xaml               2 Views\AiChat\ViewModels\AiChatViewModel.cs:2545 | ChatWindow.xaml.cs:9395
OnlineConsentDialog          UI\OnlineConsentDialog.xaml                             2 Tools\WebSearchTool.cs:41 | ChatWindow.xaml.cs:15873
VoiceModeWindow              Views\VoiceModeWindow.xaml                              2 Controls\MediaCenterControl.xaml.cs:2724 | Views\ChatView.xaml.cs:189
AudioReactiveWallpaperWindow Wallpaper\AudioReactiveWallpaperWindow.xaml             2 Wallpaper\WallpaperService.cs:9 | Wallpaper\WallpaperService.cs:34


